CBM_cost,Estado,fecha_de_salida,fecha_de_llegada,contenedor,codigo,producto,cantidad,costo,cantidad_por_caja,cantidad_de_cajass,cm_a,cm_l,cm_p,CBMM,CBM_TOTAL,costo_caja,costo_total_envio,costo_envio_unit,costo_unitario_prod,costo_total,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1760,Consolador Anal 14cm Con Ventosa Adherente De Tpe Médico,150.00,$0.40,150,1,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1662,"PENDULO BALANCE BALL 9 X 7,5CM ",288.00,$0.80,288,1,36,,38,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,"Cinturón Adelgazante Inalámbrico, Masajeador Vibratorio Quemagrasas para Abdomen y Celulitis, Máquina Adelgazante para Pérdida de Peso en la Cintura",60.00,$3.35,40,1.5,56,32,58,$0.104,$0.16,$51.97,$77.95,$1.30,$4.65,278.952,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2728,Base Laptop Desarmable Plegable Portatil Soporte De Mesa,200.00,$3.30,40,5,40,28,50,$0.056,$0.28,$28.00,$140.00,$0.70,$4.00,800,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1473  MASS1474,CONSOLADOR REALISTICO CON BASE 10 PULGADAS (negro50/piel50),100.00,$2.80,50,2,41,37,34,$0.052,$0.10,$25.79,$51.58,$0.52,$3.32,331.578,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1039,MAQUINA PLASTIFICADORA LAMINADORA (10 HOJAS),70.00,$10.85,10,7,42,40,30,$0.050,$0.35,$25.20,$176.40,$2.52,$13.37,935.9,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1781,CONSOLADOR REALISTICO CON CHUPON INFLABLE,300.00,$2.80,50,6,51,42,24,$0.051,$0.31,$25.70,$154.22,$0.51,$3.31,994.224,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1482
MASS1481","VARITA MAGICA CLITORI RECARGABLE METALIZADA (100 BLANCA, 50MORADA, 50ROSADA)",200.00,$1.90,200,1,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,"Bastidor final de cinco capas con malla lateral
(End Shelf) 76*41*160",8.00,$37.50,,,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1265,SET DE SARTENES HIERRO FUNDIDO ,190.00,$9.35,5,38,47,40,35,$0.066,$2.50,$32.90,"$1,250.20",$6.58,$15.93,3026.7,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS2786
MASS2787
MASS2788
MASS2789
MASS2790
MASS2791
MASS2792
MASS2793
MASS2794
MASS2795
MASS2796
MASS2797",Esencia a base de agua 10ml Rosa/Lirio/Vainilla/Gardenia/Limón/Lavanda/Sándalo/Jazmín/Océano/Naranja dulce/Bambú verde/Fresa,864.00,$0.13,432,2,38,36,38,$0.052,$0.10,$25.99,$51.98,$0.06,$0.19,164.304,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2707,"Dispensador de pastillero inteligente de 7 días, organizador electrónico de pastillas, temporizador de almacenamiento",240.00,$3.35,120,2,40,36,38,$0.055,$0.11,$27.36,$54.72,$0.23,$3.58,858.72,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2244,Aceite de masaje corporal Aumento de pene xxxl  10 ml ,400.00,$0.45,800,0.5,54,40,40,$0.086,$0.04,$43.20,$21.60,$0.05,$0.50,201.6,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2328,CINTA DE CORRER ELÉCTRICA PARA EL HOGAR PLEGABLE TRANSFRONTERIZA CON MÚSICA BLUETOOTH SIN FUNCIÓN DE PRUEBA DE FRECUENCIA CARDÍACA,20.00,$62.00,1,20,119,58,14,$0.097,$1.93,$48.31,$966.28,$48.31,$110.31,2206.28,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2734,Cepillo Alisador de Cabello Inalámbrico Portátil,300.00,$4.58,50,6,52.5,24,45.5,$0.057,$0.34,$28.67,$171.99,$0.57,$5.15,1545.99,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0329,MOUSE PAD MAPAMUNID ,360.00,$0.98,120,3,32,82,32,$0.084,$0.25,$41.98,$125.95,$0.35,$1.33,478.752,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1950,Juego de barajas 50 Positions Of Bondage,150.00,$1.40,250,0.6,30,15,22,$0.010,$0.01,$4.95,$2.97,$0.02,$1.42,212.97,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2706,Bandeja Para Hacer Helados Enrollados Yogurt Frito Blancos,320.00,$1.10,40,8,40,45,50,$0.090,$0.72,$45.00,$360.00,$1.13,$2.23,712,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0825,MAQUINA KEMEI 3 EN 1 ,360.00,$3.20,60,6,60,47,25.5,$0.072,$0.43,$35.96,$215.73,$0.60,$3.80,1367.73,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,PRODUCTOS NUEVOS,,,,,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1379,MOUSE PAD RGB 30X80 ,300.00,$2.15,25,12,47,47,32,$0.071,$0.85,$35.34,$424.13,$1.41,$3.56,1069.128,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,SEXSHOP ,,,,,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1039,MAQUINA PLASTIFICADORA LAMINADORA (10 HOJAS),70.00,$7.80,10,7,42,40,30,$0.050,$0.35,$25.20,$176.40,$2.52,$10.32,722.4,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1943,"Vibradores de punto G, vibrador para hombres, punto G",40.00,$4.40,200,0.2,35,30,18,$0.019,$0.00,$9.45,$1.89,$0.05,$4.45,177.89,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2709 MASS2710 MASS2736,"Peine Masajeador Capilar Inalámbrico Con Deposito De Liquido
Rated voltage: 3.7V Rated power: 5W Battery capacity: 1800mAh
Charging time: Approximately 40 minutes"" (120 negro, 90 gris, 90 rosado)",300.00,$6.50,60,5,52,35.5,39,$0.072,$0.36,$36.00,$179.99,$0.60,$7.10,2129.985,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1301,EXTENSOR DE SEÑAL 300 MBPS BLANCOS ,300.00,$2.55,100,3,58,38,44,$0.097,$0.29,$48.49,$145.46,$0.48,$3.03,910.464,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0830,ESTIMULADOR ELECTROTERAPIA PORTATIL TENNS,240.00,$2.15,60,4,50.5,39.5,71.5,$0.143,$0.57,$71.31,$285.25,$1.19,$3.34,801.24925,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1014,MAQUINA AFEITAR KEMEI KM-4640,280.00,$2.95,40,7,60,47,25.5,$0.072,$0.50,$35.96,$251.69,$0.90,$3.85,1077.685,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1795,REFLECTOR SOLAR DE PARED PARA EXTERIORES CON SENSOR DE MOVIMIENTO,300.00,$1.05,100,3,56,29.5,53,$0.088,$0.26,$43.78,$131.33,$0.44,$1.49,446.334,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0702,IMITACION DE SEMEN LECHE SIYI 200ML SYXDZ01,300.00,$0.59,50,6,65,33,17,$0.036,$0.22,$18.23,$109.40,$0.36,$0.95,286.395,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2235,Máquina de café portátil con Calefacción Automática inalámbrica,100.00,$17.80,25,4,47,47,30.5,$0.067,$0.27,$33.69,$134.75,$1.35,$19.15,1914.749,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2735,Interruptor Inteligente Sin Neutro Wifi De 1 Apagador BLANCO,150.00,$4.20,100,1.5,42,40,28,$0.047,$0.07,$23.52,$35.28,$0.24,$4.44,665.28,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0693
MASS1191
","SET DE INICIADORES ANALES SETANAL001 ROSA80,NEGRO80",160.00,$0.65,40,4,30,31,27,$0.025,$0.10,$12.56,$50.22,$0.31,$0.96,154.22,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,VARITA PARA CONTORNO DE OJOS,100.00,$3.50,100,1,48.5,40.5,37,$0.073,$0.07,$36.34,$36.34,$0.36,$3.86,386.338625,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0907
MASS0906
MASS0905","VIBRADOR 12 VELOCIDADES CON ESTIMULADOR DE CLITORIS DRHHS001(90morado,90rojo,70negro)",250.00,$7.20,40,6.25,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,"Bastidor principal de cinco capas y doble cara
(main frame) 90*76*160",4.00,$49.80,,,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2730,Audifonos Inalambricos Recargables Bluetooth Md,300.00,$2.90,100,3,28,36,52,$0.052,$0.16,$26.21,$78.62,$0.26,$3.16,948.624,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,"Bastidor auxiliar de cinco capas y doble cara
(Sidebar) 90*76*160",8.00,$44.80,,,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS2725
MASS2726","Mini Rizador de Pelo Recargable por USB
(120 Negro, 120 Blanco)",240.00,$5.48,40,6,43,35,36,$0.054,$0.33,$27.09,$162.54,$0.68,$6.16,1477.74,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0800
MASS0801
MASS0802
MASS1758
MASS1759
",BALA COLORES PASTELES YCAS4301 morado80/rosa80/rojo80/azul80/negro80,400.00,$0.80,200,2,28,28,18,$0.014,$0.03,$7.06,$14.11,$0.04,$0.84,334.112,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0498
","SET ADULTO JUEGO SEXUAL BONDAGE LATIGO, MORDAZA, ESPOSA, MASCARA -SM10S01 (100 Negro 50ROJO)",150.00,$3.20,50,3,60,42,32,$0.081,$0.24,$40.32,$120.96,$0.81,$4.01,600.96,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0210,ESTIMULADOR Y SUCCIONADOR DE CLITORIS MNMLKX003 (MORADO90),90.00,$6.00,45,2,59,42,27.5,$0.068,$0.14,$34.07,$68.15,$0.76,$6.76,608.145,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0850,"VIBRADOR POR APLICACION REMOTO YPM
(ROSADO)",800.00,$2.45,100,8,58,46,22,$0.059,$0.47,$29.35,$234.78,$0.29,$2.74,2194.784,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0407
MASS0406",VIBRADOR RABBIT SUPER MUTE 10 VELOCIDADES (ROSADO 200/ MORADO 200),400.00,$2.35,100,4,,30,38,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2167 MASS2168 MASS2169,"DILDO VIBRADOR CON DOBLE PENETRACION 
70 Negro/50 Morado/80 Piel",200.00,$2.58,100,2,20,30,54,$0.032,$0.06,$16.20,$32.40,$0.16,$2.74,548.4,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0018
MASS0019
MASS0020

","ANILLO JOY VIBRADOR RETARDANTE POTENTE LATEX XQRE036(300ROSA,300morado)",600.00,$0.80,300,2,30,25,36,$0.027,$0.05,$13.50,$27.00,$0.05,$0.85,507,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2711,Masajeador de cuero cabelludo (Blanco),300.00,$3.45,60,5,54.5,39,39,$0.083,$0.41,$41.45,$207.24,$0.69,$4.14,1242.23625,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0841
MASS2594
MASS2595","LUBRICANTE ANAL WATER OLO 60 ML (Refrescante), Caliente 25",100.00,$0.85,100,1,52,39,31,$0.063,$0.06,$31.43,$31.43,$0.31,$1.16,116.434,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1734,FORRO PARA PENE TEXTURIZADO CON BALA VIBRADORA,160.00,$2.50,40,4,30,37,30,$0.033,$0.13,$16.65,$66.60,$0.42,$2.92,466.6,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1463
MASS1464
MASS1465
MASS2783
",PLUG ANAL CON COLA DE ZORRO ANALTAIL001(BLANCO30/negro60/rojo30/blanco/negro30),150.00,$1.15,200,0.75,66,46,31,$0.094,$0.07,$47.06,$35.29,$0.24,$1.39,207.7935,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,"Cinturón Adelgazante Inalámbrico, Masajeador Vibratorio Quemagrasas para Abdomen y Celulitis, Máquina Adelgazante para Pérdida de Peso en la Cintura",60.00,$2.60,40,1.5,56,32,58,$0.104,$0.16,$51.97,$77.95,$1.30,$3.90,233.952,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0846,ROSA VIBRADORA VAGINA SUCKER,100.00,$2.20,50,2,41,40,40,$0.066,$0.13,$32.80,$65.60,$0.66,$2.86,285.6,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1009 NEGRO

MASS1011 BLANCO","DEPILADORA LASER 999999 FLASHES (NEGRO200, BLANCO200)",400.00,$7.00,40,10,54,44,35,$0.083,$0.83,$41.58,$415.80,$1.04,$8.04,3215.8,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2215,FOMENTERA ESTERILLA ELECTRICA ,80.00,$5.45,30,2.666666667,50,60,30,$0.090,$0.24,$45.00,$120.00,$1.50,$6.95,556,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2059/MASS2060,"RAZURADORA PARA DAMA (50ROSADO, 50Azul)
",100.00,$6.34,50,2,41,37,32,$0.049,$0.10,$24.27,$48.54,$0.49,$6.83,682.544,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2733,MAQUINA CAFE R.9136-110,40.00,$46.00,4,10,64,54,33,$0.114,$1.14,$57.02,$570.24,$14.26,$60.26,2410.24,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2059/MASS2060,"RAZURADORA PARA DAMA (500 ROSADO, 200 AZUL)
",700.00,$4.60,50,14,41,37,32,$0.049,$0.68,$24.27,$339.81,$0.49,$5.09,3559.808,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0292 Negro MASS0289 rojo MASS0290 verde MASS0291 gris

",PISTOLA MASAJEADORA RECARGABLE SY-720 (NEGRO 20/ GRIS 20/ ROJO 20/ VERDE 20),80.00,$2.30,40,2,69.5,30.5,30.5,$0.065,$0.13,$32.33,$64.65,$0.81,$3.11,248.652375,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2059 MASS2060,"RAZURADORA PARA DAMA (50ROSADO, 50Azul)
",100.00,$4.80,50,2,41,37,32,$0.049,$0.10,$24.27,$48.54,$0.49,$5.29,528.544,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2731,BALON MUNDIAL 2026,300.00,$2.75,50,6,75,40,40,$0.120,$0.72,$60.00,$360.00,$1.20,$3.95,1185,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1163
MASS0598
MASS1164",VIBRADOR CONSOLADOR FEMALE VIBRATOR HQMY8941 (FUCSIA 150 / MORADO 75 / NEGRO 75),300.00,$2.30,100,3,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0842,LUBRICANTE MULTIORGASMICO CLIMAX OLO 20 ML,75.00,$0.85,300,0.25,40,50,60,$0.120,$0.03,$60.00,$15.00,$0.20,$1.05,78.75,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1055
MASS1056",CAJA DE CONDONES ULTRAFINO (10 PCS) (ULTRAFINO 100/ TEXTURIZADO 100),200.00,$0.60,60,3.333333333,1,57,74,$0.004,$0.01,$2.11,$7.03,$0.04,$0.64,127.03,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0292 Negro

",PISTOLA MASAJEADORA RECARGABLE SY-720 (NEGRO 20/ GRIS 20/ ROJO 20/ VERDE 20),80.00,$3.88,40,2,69.5,30.5,30.5,$0.065,$0.13,$32.33,$64.65,$0.81,$4.69,375.052375,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,Almohadilla de calentamiento Menstrual portátil (30blancos-30rosado),120.00,$4.80,,,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2737,Interruptor Inteligente Wifi De 2 Apagadores Sin Neutro BLANCO,150.00,$4.65,100,1.5,42,40,28,$0.047,$0.07,$23.52,$35.28,$0.24,$4.89,732.78,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1009 NEGRO

MASS1011 BLANCO","DEPILADORA LASER 999999 FLASHES (NEGRO40, BLANCO40)",80.00,$8.45,40,2,54,44.5,35,$0.084,$0.17,$42.05,$84.11,$1.05,$9.50,760.105,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1803,CASE EXTERNO USB 2.0 TRASPARENTE,300.00,$1.25,100,3,40,32,53,$0.068,$0.20,$33.92,$101.76,$0.34,$1.59,476.76,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2067,Juego De Dados Milimétricos De 12 Piezas Con Rachet Grande,400.00,$2.85,40,10,53,50,30,$0.080,$0.80,$39.75,$397.50,$0.99,$3.84,1537.5,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1071,MOUSE VERTICAL INALAMBRICO RECARGABLE ,200.00,$3.55,100,2,48,54,39,$0.101,$0.20,$50.54,$101.09,$0.51,$4.06,811.088,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0200,Dispensador de agua recargable,420.00,$1.10,60,7,50.5,,47,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1083,CERRADURA PARA PUERTA DOMO ,600.00,$1.25,40,15,64,27,40,$0.069,$1.04,$34.56,$518.40,$0.86,$2.11,1268.4,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2323,MICRÓFONO DE SOLAPA INALÁMBRICO 2MIC 3 EN 1 PARA GRABACIÓN DE AUDIO Y VIDEO DE VLOGS Y TRANSMISIONES DE ENTREVISTAS COMPATIBLES CON SMARTPHONES,300.00,$3.40,100,3,57.5,32,40,$0.074,$0.22,$36.80,$110.40,$0.37,$3.77,1130.4,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1266,SELLADORA AL VACIO ELEGANTE,320.00,$9.80,20,16,55,39,32,$0.069,$1.10,$34.32,$549.12,$1.72,$11.52,3685.12,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1906,"MASAJEADOR EMS DE ESTIRAMINETO FACIAL
 ANTIARRUGAS 7 MODOS (Blancos)",600.00,$2.80,60,10,56,35,45,$0.088,$0.88,$44.10,$441.00,$0.74,$3.54,2121,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1282,MAQUINA PLASTIFICADORA LAMINADORA (10 HOJAS),300.00,$7.80,10,30,42,40,30,$0.050,$1.51,$25.20,$756.00,$2.52,$10.32,3096,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0826,CORRECTOR DE JUANETE,800.00,$0.45,200,4,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0292
MASS0291
MASS0289
MASS0290
",PISTOLA MASAJEADORA RECARGABLE SY-720 (NEGRO 360/ GRIS 80/ ROJO 80/ VERDE 80),600.00,$2.30,40,15,69.5,30.5,30.5,$0.065,$0.97,$32.33,$484.89,$0.81,$3.11,1864.892813,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0288,"MASAJEADOR DE CUELLO RECARGABLE 
CON 4 ELECTRODOS",300.00,$2.32,60,5,,,,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1657,MAQUINA KEMEI 4 EN 1 KM-6630,500.00,$3.80,100,5,71,,42.5,,,,,,,,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2215,FOMENTERA ESTERILLA ELECTRICA ,80.00,$6.53,30,2.666666667,50,60,30,$0.090,$0.24,$45.00,$120.00,$1.50,$8.03,642.4,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1932     MASS1933     MASS1934     MASS1935,Dildo fluorescente realista  18.5cm de Largo; 14cm Insertables; 3.5cm de Ancho rosa40/púrpura40/verde40/azul40/naranja40,200.00,$3.50,40,5,25,60,60,$0.090,$0.45,$45.00,$225.00,$1.13,$4.63,925,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0596 MASS0595,VIBRADOR CON ROTACION HAILEY DIBE DB-1874  ROSADO 9/ morado 9,18.00,$11.00,90,0.2,68,47,50,$0.160,$0.03,$79.90,$15.98,$0.89,$11.89,213.98,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2727,Lámpara LED de Media Luna para Secado Rápido de Uñas de Gel (Negro),180.00,$3.90,45,4,52,48,41,$0.102,$0.41,$51.17,$204.67,$1.14,$5.04,906.672,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"   MASS1356 Negro
MASS1429 Azul
      MASS1430 Rosado","MAT DE YOGA 1CM GROSOR (125NEGRO,60AZUL,65ROSADA)",250.00,$1.45,25,10,80,65,34,$0.177,$1.77,$88.40,$884.00,$3.54,$4.99,1246.5,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1009 NEGRO

MASS1011 BLANCO","DEPILADORA LASER 999999 FLASHES (NEGRO40, BLANCO40)",80.00,$7.00,40,2,54,44.5,35,$0.084,$0.17,$42.05,$84.11,$1.05,$8.05,644.105,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2330,EQUIPO DE FITNESS DE BARRA DE DOMINADAS INDIVIDUAL DE USO DOMÉSTICO CON ANILLOS PARA NIÑOS OPCIÓN DE PUERTA DE PARED DE ACERO SIN TALADRO PARA EJERCICIO EN INTERIORES,75.00,$6.65,10,7.5,84,26,38,$0.083,$0.62,$41.50,$311.22,$4.15,$10.80,809.97,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2708,"Cinturón Adelgazante Inalámbrico, Masajeador Vibratorio Quemagrasas para Abdomen y Celulitis, Máquina Adelgazante para Pérdida de Peso en la Cintura",300.00,$2.60,60,5,56,32,58,$0.104,$0.52,$51.97,$259.84,$0.87,$3.47,1039.84,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1722 MASS1721,"Rabbit Vibrator Sex Toys for Women 10 Frequency Vaginal Anal Massager G Spot (60 Verde, 30 Rosado)",90.00,$4.45,90,1,72,34,54,$0.132,$0.13,$66.10,$66.10,$0.73,$5.18,466.596,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS1358
MASS1996
MASS1997
MASS1998
MASS1999","Faja Reductora Moldeadora Neopreno Fitness Cintura Techno (NEGRO 40S,120M,L100,80XL,60XXLEN CAJA",400.00,$1.00,100,4,35,50,40,$0.070,$0.28,$35.00,$140.00,$0.35,$1.35,540,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0287,SATISFAYER RECARGABLE GM21901 (PIEL),200.00,$5.00,200,1,35,50,40,$0.070,$0.07,$35.00,$35.00,$0.18,$5.18,1035,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1904,CAMARA TIPO BOMBILLO BASE E27 1080P,400.00,$2.90,100,4,73,41,41.5,$0.124,$0.50,$62.10,$248.42,$0.62,$3.52,1408.419,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1732,"Manga extensora, manga para pene, manga con vibración Recargable",50.00,$5.00,50,1,36,36,36,$0.047,$0.05,$23.33,$23.33,$0.47,$5.47,273.328,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0518,STUD 100,"1,000.00",$0.79,300,3.333333333,48,31,39,$0.058,$0.19,$29.02,$96.72,$0.10,$0.89,886.72,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS1910                        MASS2152,"Esterilizador ultravioleta para cepillos de dientes
(150NEGRO,150BLANCO)",300.00,$1.70,60,5,59,44,52,$0.135,$0.67,$67.50,$337.48,$1.12,$2.82,847.48,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS0605
MASS0604
MASS1166",VIBRADOR FEMALE CONEJO 12 FUNCIONES 45 GRADOS HQMP892 (FUCSIA 30/ MORADO 30 Negro 30 ),80.00,$9.50,40,2,55,48,34,$0.090,$0.18,$44.88,$89.76,$1.12,$10.62,849.76,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,"MASS2721
MASS2722","Taza para mezclar café recargable 380 ml (180 negro, 120 blanco)",300.00,$2.85,60,5,63,47,46,$0.136,$0.68,$68.10,$340.52,$1.14,$3.99,1195.515,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2729,Bolso Impermeable Waterproof Dry Bag Camping,150.00,$2.30,75,2,40,45,33,$0.059,$0.12,$29.70,$59.40,$0.40,$2.70,404.4,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS2234,Teclado Bluetooth Plegable Inalambrico Portatil,40.00,$11.40,40,1,41.2,29,20,$0.024,$0.02,$11.95,$11.95,$0.30,$11.70,467.948,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,MASS0701,LUBRICANTE ANAL LOVE MONOGATARI 200ML ZTAO01,328.00,$0.68,164,2,58,66,35,$0.134,$0.27,$66.99,$133.98,$0.41,$1.09,357.02,,,,
500,Entregado,4/21/2026,6/23/2026,CONTENEDOR OSLO,,VARITA PARA CONTORNO DE OJOS,100.00,$4.25,100,1,48.5,40.5,37,$0.073,$0.07,$36.34,$36.34,$0.36,$4.61,461.338625,,,,
