"Bodega","Ubicación","Categoría Artículo Padre","Categoría Artículo","Artículo","Peso","Unidad Medida Peso","Lote","Serie","Unidad Medida","Cantidad","Tipo Transacción","Transacción","Codigo Transacción","Fecha Transacción","Fecha Vencimiento","Bodega Destino","Módulo Origen","Descripción Movimiento","Usuario"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS1725-CARAMELO EXPLOSIVO COMESTIBLE","-","-","-","-","Unid","2.00","FVE-Factura de Venta (-) ","33202609000000262054","00000000000000038215","02/09/2026 01:26 PM","-","-","FACTURACION","LB 210024211 
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-26-RAF","MASS2617-AIR FRYER NEGRO 5L R.5234B-110 RAF","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262056","00000000000000038216","02/09/2026 01:29 PM","-","-","FACTURACION","KA 210037657
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-22-REDES INALAMBRICAS","MASS1301-EXTENSOR DE SEÑAL 300 MBPS","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262058","00000000000000038217","02/09/2026 01:30 PM","-","-","FACTURACION","LB 210024423
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-26-RAF","MASS2387-PLANCHA DE CABELLO CERAMICA ROJO R.9454R-110 RAF","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262058","00000000000000038217","02/09/2026 01:30 PM","-","-","FACTURACION","LB 210024423
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-16-FERRETERIA","MASS1347-SET DE DADOS 46 PCS","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262058","00000000000000038217","02/09/2026 01:30 PM","-","-","FACTURACION","LB 210024423
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1525-ZAPATERA DE METAL 6 NIVELES","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262060","00000000000000038218","02/09/2026 01:33 PM","-","-","FACTURACION","KA 210039566
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-25-COCINA","MASS0200-DISPENSADOR DE AGUA ELECTRONICO","-","-","-","-","Unid","3.00","FVE-Factura de Venta (-) ","33202609000000262060","00000000000000038218","02/09/2026 01:33 PM","-","-","FACTURACION","KA 210039566
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1377-HIDROJET PORTATIL RECARGABLE 48VF","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262061","00000000000000038219","02/09/2026 01:33 PM","-","-","FACTURACION","LB 210025676 
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1562-WALL PANEL 3D D094 BLANCO 1MM DE GROSOR 500MM*500MM","-","-","-","-","Unid","7.00","FVE-Factura de Venta (-) ","33202609000000262063","00000000000000038220","02/09/2026 01:36 PM","-","-","FACTURACION","EE
Detalle de orden #206023269
INICIAL 0$
TRASLADO 2026090001
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-25-COCINA","MASS1264-PARRILLERA PLANCHA HIERRO FUNDIDO REVERSIBLE","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262065","00000000000000038221","02/09/2026 01:39 PM","-","-","FACTURACION","LB 210025715
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-18-SALUD","MASS2215-FOMENTERA ESTERILLA ELECTRICA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262066","00000000000000038222","02/09/2026 01:40 PM","-","-","FACTURACION","EE
Detalle de orden #205671694
TRASLADO 2026080016
INICIAL 0$
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-18-SALUD","MASS2215-FOMENTERA ESTERILLA ELECTRICA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262067","00000000000000038223","02/09/2026 01:43 PM","-","-","FACTURACION","EE
Detalle de orden #205673835
TRASLADO 2026080016
INICIAL 0$
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-14-ILUMINACION","MASS1795-REFLECTOR SOLAR DE PARED PARA EXTERIORES CON SENSOR DE MOVIMIENTO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262069","00000000000000038224","02/09/2026 01:46 PM","-","-","FACTURACION","EE
Detalle de orden #204827222
TRASLADO 2026080016
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-12-JUEGOS Y JUGUETES","MASS2731-BALON DE FÚTBOL MUNDIAL 2026 OFICIAL","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262069","00000000000000038224","02/09/2026 01:46 PM","-","-","FACTURACION","EE
Detalle de orden #204827222
TRASLADO 2026080016
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1908-SKIN SCRUBBER BLANCO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262069","00000000000000038224","02/09/2026 01:46 PM","-","-","FACTURACION","EE
Detalle de orden #204827222
TRASLADO 2026080016
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1417-FOAMI 3D PLH-01 NEGRO 70CM*77CM","-","-","-","-","Unid","11.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1423-PANEL DECORATIVO DE PARED HAYE-09 2MM DE GROSOR 30CM*60CM","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1562-WALL PANEL 3D D094 BLANCO 1MM DE GROSOR 500MM*500MM","-","-","-","-","Unid","10.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-15-COMPUTACION","MASS1601-BOLSO DE LAPTOP REFLECTIVO GRIS","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2604-ESTANTE PLASTICO NEGRO AGORA 178*60*30CM","-","-","-","-","Unid","2.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1975-MAQUINA ELECTRICA QUITA PELUSA RECARGABLE","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-07-RELOJES INTELIGENTES","MASS2083-SET DE CABALLERO 001 NEGRO","-","-","-","-","Unid","4.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-06-AUDIFONOS","MASS2226-AUDIFONO INALAMBRICO P2961 Bluetooth RECARGABLE NEGRO","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1908-SKIN SCRUBBER BLANCO","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000262070","2026090006","02/09/2026 01:48 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1417-FOAMI 3D PLH-01 NEGRO 70CM*77CM","-","-","-","-","Unid","11.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1423-PANEL DECORATIVO DE PARED HAYE-09 2MM DE GROSOR 30CM*60CM","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1562-WALL PANEL 3D D094 BLANCO 1MM DE GROSOR 500MM*500MM","-","-","-","-","Unid","10.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-15-COMPUTACION","MASS1601-BOLSO DE LAPTOP REFLECTIVO GRIS","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2604-ESTANTE PLASTICO NEGRO AGORA 178*60*30CM","-","-","-","-","Unid","2.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1975-MAQUINA ELECTRICA QUITA PELUSA RECARGABLE","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-07-RELOJES INTELIGENTES","MASS2083-SET DE CABALLERO 001 NEGRO","-","-","-","-","Unid","4.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-06-AUDIFONOS","MASS2226-AUDIFONO INALAMBRICO P2961 Bluetooth RECARGABLE NEGRO","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1908-SKIN SCRUBBER BLANCO","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262071","2026090006","02/09/2026 01:48 PM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDO EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1525-ZAPATERA DE METAL 6 NIVELES","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262072","00000000000000038225","02/09/2026 01:49 PM","-","-","FACTURACION","EE
Detalle de orden #206142923
TRASLADO 2026090001
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS0239-HUMIDIFICADOR WITH COLOR CHANGING LED MARRON CLARO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262072","00000000000000038225","02/09/2026 01:49 PM","-","-","FACTURACION","EE
Detalle de orden #206142923
TRASLADO 2026090001
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-18-SALUD","MASS2215-FOMENTERA ESTERILLA ELECTRICA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262073","00000000000000038226","02/09/2026 01:54 PM","-","-","FACTURACION","EE
Detalle de orden #205885936
INICIAL 0$
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1378-MAQUINA KEMEI DE AFEITAR CABELLO SHAVER KEMEI KM-2024","-","-","-","-","Unid","15.00","FVE-Factura de Venta (-) ","33202609000000262074","00000000000000001410","02/09/2026 01:57 PM","-","-","FACTURACION","JS","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1525-ZAPATERA DE METAL 6 NIVELES","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262074","00000000000000001410","02/09/2026 01:57 PM","-","-","FACTURACION","JS","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-02-ACCESORIOS VARIOS","MASS1766-BOLSAS DE MASSHOPPING AZULES","-","-","-","-","Unid","100.00","FVE-Factura de Venta (-) ","33202609000000262074","00000000000000001410","02/09/2026 01:57 PM","-","-","FACTURACION","JS","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2586-PERCHERO DE HIERRO CON REJILLA LATERAL CON RUEDAS","-","-","-","-","Unid","10.00","FVE-Factura de Venta (-) ","33202609000000262074","00000000000000001410","02/09/2026 01:57 PM","-","-","FACTURACION","JS","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-13-ACCESORIOS DE TELEFONOS","MASS2326-SOPORTE DE TELÉFONO PARA COCHE DE DISEÑO INNOVADOR BRAZO DE ABRAZADERA PLEGABLE DE ROTACIÓN 360 CON VENTOSA DE VACÍO MAGNÉTICA FLEXIBLE","-","-","-","-","Unid","15.00","FVE-Factura de Venta (-) ","33202609000000262074","00000000000000001410","02/09/2026 01:57 PM","-","-","FACTURACION","JS","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2584-PERCHERO DE 3 PATAS 167 x 50 CM","-","-","-","-","Unid","15.00","FVE-Factura de Venta (-) ","33202609000000262074","00000000000000001410","02/09/2026 01:57 PM","-","-","FACTURACION","JS","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-14-ILUMINACION","MASS2056-BOMBILLOS VINTAGE5 METERS 20 LIGHTS","-","-","-","-","Unid","20.00","FVE-Factura de Venta (-) ","33202609000000262074","00000000000000001410","02/09/2026 01:57 PM","-","-","FACTURACION","JS","ADMASISTENTE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-25-COCINA","MASS1865-MAQUINA PARA HACER PASTA CALABACIN BLANCO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262076","00000000000000043192","02/09/2026 01:58 PM","-","-","FACTURACION","VR","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-18-SALUD","MASS2215-FOMENTERA ESTERILLA ELECTRICA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262077","00000000000000038227","02/09/2026 01:58 PM","-","-","FACTURACION","EE
Detalle de orden #205814199
TRASLADO 2026080016
CREAR GUIA ZOOM","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS2635-TERMO OWALA 30 ONZ 900 ML VERDE","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000262078","2026090007","02/09/2026 01:59 PM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC REVERSO RETIRO EN TIENDA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS2635-TERMO OWALA 30 ONZ 900 ML VERDE","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262079","2026090007","02/09/2026 01:59 PM","-","-","INVENTARIOS","MFLC REVERSO RETIRO EN TIENDA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS1725-CARAMELO EXPLOSIVO COMESTIBLE","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262082","00000000000000038228","02/09/2026 02:04 PM","-","-","FACTURACION","EE
Detalle de orden #206952803
TRASLADO 2026090001","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS2059-RAZURADORA PARA DAMA ROSADA","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262082","00000000000000038228","02/09/2026 02:04 PM","-","-","FACTURACION","EE
Detalle de orden #206952803
TRASLADO 2026090001","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1975-MAQUINA ELECTRICA QUITA PELUSA RECARGABLE","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262082","00000000000000038228","02/09/2026 02:04 PM","-","-","FACTURACION","EE
Detalle de orden #206952803
TRASLADO 2026090001","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS2635-TERMO OWALA 30 ONZ 900 ML VERDE","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000262084","2026090008","02/09/2026 02:05 PM","-","-","INVENTARIOS","MFLC REVERSO RETIRO EN TIENDA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS2635-TERMO OWALA 30 ONZ 900 ML VERDE","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000262088","2026090009","02/09/2026 02:07 PM","-","-","INVENTARIOS","MFLC  RETIRO EN TIENDA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2585-ZAPATERA Y PERCHERO 4 NIVELES 152CM X 59CM X 25XCM","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262092","00000000000000038229","02/09/2026 02:10 PM","-","-","FACTURACION","EE
Detalle de orden #206810382
TRASLADO 2026090001
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-08-ADULTOS","MASS0701-LUBRICANTE ANAL LOVE MONOGATARI 200ML ZTAO01","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262093","00000000000000043193","02/09/2026 02:10 PM","-","-","FACTURACION","VR","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1378-MAQUINA KEMEI DE AFEITAR CABELLO SHAVER KEMEI KM-2024","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262094","00000000000000043194","02/09/2026 02:12 PM","-","-","FACTURACION","Garantía. 7 días continuos tras la entrega por defectos de fábrica. No aplica en casos de mal uso, negligencia o fallas eléctricas, picos de voltaje.      
VR","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS2604-ESTANTE PLASTICO NEGRO AGORA 178*60*30CM","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262095","00000000000000038230","02/09/2026 02:12 PM","-","-","FACTURACION","EE
Detalle de orden #206079455
TRASLADO 2026090001
CREAR GUIA ZOOM
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","MASS2634-TERMO OWALA 30 ONZ 900 ML ROSA CLARO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262096","00000000000000038231","02/09/2026 02:13 PM","-","-","FACTURACION","KA 210052455","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","MASS1976-MAQUINA AFEITAR KEMEI KM-1071 RECARGABLE","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262097","00000000000000038232","02/09/2026 02:13 PM","-","-","FACTURACION","LB 210116936
CAD","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-02-ACCESORIOS VARIOS","MASS2612-TELESCOPIO MONOCULAR 25X2000 3.6 PULGADAS ALTA DEFINICION","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262098","00000000000000043195","02/09/2026 02:13 PM","-","-","FACTURACION","VR","SUPERVISORONLINE@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-07-RELOJES INTELIGENTES","MASS2083-SET DE CABALLERO 001 NEGRO","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262099","00000000000000038233","02/09/2026 02:15 PM","-","-","FACTURACION","EE
Detalle de orden #206628301
TRASLADO 2026090001
CAD CON GUIA","CAJACASHEA@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS1083-CERRADURA DE PUERTA DE MADERA LOCK","-","-","-","-","Unid","1.00","FVE-Factura de Venta (-) ","33202609000000262100","00000000000000038234","02/09/2026 02:15 PM","-","-","FACTURACION","SP-210161118
INICIAL 0$","CAJACASHEA@MASSHOPPING.COM.VE"
